Title,Description,Priority,Estimate,Labels,Assignee,Parent,Blocked By
"[Monetization] Track entitlement limit warnings","Track when users approach or hit entitlement limits (critical conversion signal).

**Acceptance Criteria:**
- Event: entitlement_limit_warning when usage reaches 80% of limit
- Event: entitlement_limit_reached when usage hits 100%
- Event: entitlement_limit_exceeded when soft limit is exceeded
- Properties: entitlementType, currentUsage, limit, percentage, organizationId
- Fire from billing check API or wherever limits are enforced

**Files to modify:**
- apps/client/src/app/api/v1/billing/check/route.ts",P0,2,"monetization,analytics,conversion",Albert,Phase 5: Monetization,"[Foundation] Create PostHog tracking helper functions"
"[Monetization] Track subscription plan views","Track when users view pricing/subscription page (conversion intent signal).

**Acceptance Criteria:**
- Event: subscription_plan_viewed
- Properties: currentPlan, viewedPlan (if clicked specific plan), source (where they came from), organizationId
- Fire from pricing page component
- Track which plan cards are clicked

**Files to modify:**
- Subscription/pricing page component
- Plan selection component from onboarding (step 6)",P1,1,"monetization,analytics,conversion",Albert,Phase 5: Monetization,"[Monetization] Track entitlement limit warnings"
"[Monetization] Track subscription upgrades/downgrades","Track successful plan changes (upgrade, downgrade, or cancellation).

**Acceptance Criteria:**
- Event: subscription_upgraded when moving to higher tier
- Event: subscription_downgraded when moving to lower tier
- Event: subscription_canceled when subscription is canceled
- Properties: fromPlan, toPlan, daysSinceSignup, trigger (user vs admin), organizationId
- Fire from Stripe webhook handler
- Update user properties in PostHog with new plan

**Files to modify:**
- apps/client/src/app/api/auth/stripe/webhook/route.ts",P0,2,"monetization,analytics,conversion",Albert,Phase 5: Monetization,"[Monetization] Track subscription plan views"
"[Monetization] Track feature access blocks","Track when users try to access premium features they don't have access to.

**Acceptance Criteria:**
- Event: premium_feature_blocked
- Properties: feature name, required plan, current plan, organizationId, userId
- Fire when hard limit blocks action
- Fire when feature flag check returns false for premium features

**Files to modify:**
- Add to feature flag check functions
- Add to entitlement enforcement points",P1,1,"monetization,analytics,conversion",Albert,Phase 5: Monetization,"[Monetization] Track entitlement limit warnings"
"[Power Users] Track integration connections","Track when users connect third-party integrations (PostHog, GA4, Linear).

**Acceptance Criteria:**
- Event: integration_connected for each integration
- Event: integration_disconnected
- Properties: integrationType, organizationId, userId, daysSinceSignup
- Track first integration as feature_first_used
- Fire from integration API endpoints

**Files to modify:**
- apps/client/src/app/api/v1/integrations/ga4/route.ts
- apps/client/src/app/api/v1/integrations/posthog/route.ts
- apps/client/src/app/api/v1/integrations/linear/route.ts",P1,2,"integrations,analytics,power-users",Albert,Phase 6: Power Users,"[Foundation] Create PostHog tracking helper functions"
"[Power Users] Track team member invitations","Track when users invite team members (expansion signal).

**Acceptance Criteria:**
- Event: team_member_invited
- Event: team_member_joined when invitation is accepted
- Properties: inviteeEmail, inviteeRole, currentTeamSize, organizationId, inviterId
- Fire from invitation API endpoint

**Files to modify:**
- Invitation API endpoints (create and accept)",P1,1,"expansion,analytics,team-growth",Albert,Phase 6: Power Users,"[Foundation] Create PostHog tracking helper functions"
"[Power Users] Track dashboard page views","Track which dashboard pages users visit most frequently.

**Acceptance Criteria:**
- Leverage automatic pageview tracking
- Add custom properties to pageviews: dashboardType (overview, citations, metrics, content-analytics)
- Extract organizationSlug and productSlug from URL
- Track time on page

**Files to modify:**
- Dashboard page components (if additional metadata needed)",P2,1,"engagement,analytics",Albert,Phase 6: Power Users,"[Foundation] Add automatic page view tracking"
"[Power Users] Track export actions","Track when users export data (CSV, PDF, etc.) - indicates high engagement.

**Acceptance Criteria:**
- Event: data_exported
- Properties: dataType (citations, reports, analytics), format (csv, pdf), recordCount, organizationId
- Fire from export API endpoints or client-side export buttons

**Files to modify:**
- Export components/API endpoints",P2,1,"power-users,analytics",Albert,Phase 6: Power Users,"[Foundation] Create PostHog tracking helper functions"
"[Retention] Track session start and inactivity","Track when users start sessions and calculate days since last activity.

**Acceptance Criteria:**
- Event: session_started with daysSinceLastSession
- Fire on authentication
- Calculate and store lastActivityAt in database
- Update PostHog user property: lastActivityAt

**Files to modify:**
- Auth callback or middleware",P1,2,"retention,analytics,churn",Albert,Phase 7: Retention,"[Foundation] Add user identification on authentication"
"[Retention] Create scheduled job for inactive users","Create a daily scheduled job that identifies and tracks inactive users (no activity in 7/14/30 days).

**Acceptance Criteria:**
- BullMQ or Temporal job runs daily
- Query users with lastActivityAt > 7/14/30 days ago
- Event: user_inactive_7_days, user_inactive_14_days, user_inactive_30_days
- Properties: organizationId, userId, daysSinceLastActivity, lastActivityType
- Add user segment in PostHog: At risk of churn

**Files to create:**
- apps/worker/src/workers/inactivity-tracker.ts

**Database migration needed:**
- Add lastActivityAt to User model
- Add InactivityEvent model",P2,3,"retention,analytics,churn,infrastructure",Albert,Phase 7: Retention,"[Retention] Track session start and inactivity"
"[Retention] Track feature flag exposures","Track when users are exposed to feature flags (for A/B test analysis).

**Acceptance Criteria:**
- Event: feature_flag_exposed
- Properties: flagName, flagValue (enabled/disabled), organizationId, userId
- Fire from feature flag check functions
- Don't track same exposure multiple times in same session

**Files to modify:**
- apps/client/src/lib/feature-flags.ts",P2,2,"experimentation,analytics",Albert,Phase 7: Retention,"[Foundation] Create PostHog tracking helper functions"
"[Dashboards] Create Activation Funnel dashboard","Build PostHog Insights dashboard showing onboarding funnel conversion rates.

**Acceptance Criteria:**
- Funnel insight: onboarding_started → each step → onboarding_completed
- Show conversion rate at each step
- Time to convert trend chart
- Drop-off analysis: where users abandon
- Cohort comparison: by signup date, by source
- Set goal: >60% complete onboarding within 7 days

**No code changes - PostHog configuration only**",P0,3,"dashboard,analytics,activation",Albert,Phase 8: Dashboards,"[Onboarding] Track onboarding completion"
"[Dashboards] Create Feature Adoption dashboard","Build dashboard showing feature adoption rates and time-to-first-use.

**Acceptance Criteria:**
- Adoption curve: % of users who've used each feature by day 7/14/30/90
- Time to first use: distribution chart for each feature
- Feature matrix: which features correlate with retention
- Top features by MAU
- Stickiness: DAU/MAU per feature

**No code changes - PostHog configuration only**",P0,3,"dashboard,analytics,adoption",Albert,Phase 8: Dashboards,"[Feature Adoption] Track content gap analysis runs"
"[Dashboards] Create Engagement dashboard","Build dashboard showing daily/weekly active users and engagement depth metrics.

**Acceptance Criteria:**
- DAU/WAU/MAU trend chart
- Stickiness ratio: DAU/MAU over time
- Sessions per user (distribution)
- Email engagement: weekly report open/click rates
- Daily prompt feedback rate
- Power user segmentation: top 10% by activity

**No code changes - PostHog configuration only**",P1,3,"dashboard,analytics,engagement",Albert,Phase 8: Dashboards,"[Engagement] Track opportunity interactions"
"[Dashboards] Create Monetization dashboard","Build dashboard showing conversion funnel from free to paid and upsell indicators.

**Acceptance Criteria:**
- Conversion funnel: signup → limit warning → plan viewed → upgraded
- Time to upgrade distribution
- Limit hit frequency by entitlement type
- Premium feature block rate (paywall hits)
- MRR trend (if integrated with Stripe)
- Churn rate by plan

**No code changes - PostHog configuration only**",P0,3,"dashboard,analytics,monetization",Albert,Phase 8: Dashboards,"[Monetization] Track feature access blocks"
"[Dashboards] Create Retention & Churn dashboard","Build dashboard showing cohort retention and early churn indicators.

**Acceptance Criteria:**
- Cohort retention table: Day 1/7/30/90 by signup week
- Churn curve: % of users churned by days since signup
- Inactive user count: 7/14/30 day buckets
- Resurrection rate: % of inactive users who return
- Retention by plan tier

**No code changes - PostHog configuration only**",P1,3,"dashboard,analytics,retention",Albert,Phase 8: Dashboards,"[Retention] Track feature flag exposures"
"[Alerts] Set up critical metric alerts","Configure PostHog or Slack alerts for critical metric changes.

**Acceptance Criteria:**
- Alert: Onboarding completion rate drops below 50%
- Alert: DAU drops by >20% week-over-week
- Alert: Churn spike (>5 cancellations in one day)
- Alert: Payment failures (if integrated with Stripe)
- Alerts sent to Slack channel: #plg-metrics

**No code changes - PostHog configuration only**",P1,2,"monitoring,analytics,alerts",Albert,Phase 9: Alerts,"[Dashboards] Create Retention & Churn dashboard"
"[Alerts] Create weekly PLG metrics report","Set up automated weekly summary report of key PLG metrics sent to team.

**Acceptance Criteria:**
- Report includes: activation rate, DAU/WAU, conversion rate, churn rate, top features
- Sent every Monday at 9am to Slack #plg-metrics
- Include week-over-week change indicators
- Link to PostHog dashboards for deep dive

**No code changes - PostHog configuration only**",P2,2,"reporting,analytics",Albert,Phase 9: Alerts,"[Alerts] Set up critical metric alerts"
"[Documentation] Document all tracked events","Create comprehensive documentation of all PostHog events, properties, and when they fire.

**Acceptance Criteria:**
- Create ANALYTICS_EVENTS.md documenting every event
- Include: event name, description, properties, when it fires, which component/file
- Create Notion page or wiki with same info for non-technical team
- Document dashboard URLs and what each shows

**Files to create:**
- docs/ANALYTICS_EVENTS.md
- docs/POSTHOG_DASHBOARDS.md",P1,2,documentation,Albert,Phase 10: Documentation,"[Alerts] Create weekly PLG metrics report"
"[Documentation] Create analytics implementation guide","Write guide for engineers on how to add new analytics events going forward.

**Acceptance Criteria:**
- Document: how to add new event types
- Document: how to add new properties
- Document: testing analytics locally
- Document: verifying events in PostHog
- Include code examples

**Files to create:**
- docs/ANALYTICS_IMPLEMENTATION_GUIDE.md",P2,2,documentation,Albert,Phase 10: Documentation,"[Documentation] Document all tracked events"
"[Documentation] Train team on PostHog dashboards","Conduct training session with team on how to use PostHog dashboards and interpret metrics.

**Acceptance Criteria:**
- Schedule 1-hour training session
- Walk through each dashboard
- Explain key metrics and why they matter
- Show how to create custom insights
- Record session for future reference

**Deliverable:**
- Training session scheduled and completed
- Recording uploaded to shared drive",P1,1,training,Albert,Phase 10: Documentation,"[Dashboards] Create Retention & Churn dashboard"
